Name of Collection,Total volume of Collection,Change in volume,Floor Price of Collection,Time of Scrape,Name of Collection.1,Total volume of Collection.1,Change in volume.1,Floor Price of Collection.1,Time of Scrape.1,Name of Collection.2,Total volume of Collection (in ETH),Change in volume (in ETH)),Floor Price of Collection.2,Time of Scrape.2,Rank,Name of Collection.3,Total volume of Collection (in ETH).1,Change in volume (in ETH)).1,Floor Price of Collection.3,Time of Scrape.3,Rank.1,Name of Collection.4,Total volume of Collection (in ETH).2,Change in Daily volume (in ETH)),Floor Price of Collection.4,Time of Scrape.4,Rank.2,Name of Collection.5,Total volume of Collection (in ETH).3,Change in Daily volume (in ETH)).1,Floor Price of Collection.5,Time of Scrape.5,Rank,Name of Collection,Total volume of Collection (in ETH),Change in Daily volume (in ETH)),Floor Price of Collection,Time of Scrape
Dapper Doggos,0.33 ETH,--,0.03 ETH,8/5/22 19:50,The Gamer Room,0.30 ETH,-68%,0.41 ETH,8/5/22 20:12,Curated Sticker Collectio...,0.32,348%,0.0001,8/5/22 21:57,31.0,Curated Sticker Collectio...,0.32,+3761%,0.0001,08/05/2022 23:36:57,31.0,The Roaring Retro Gallery...,0.34,-36%,0.04,08/06/2022 18:07:39,31.0,NFTurtles Originals,0.2,-80%,0.14,08/07/2022 16:15:22,31.0,Art Scene,0.3,+500%,0.05,08/08/2022 13:54:42
Curated Sticker Collectio...,0.30 ETH,316%,< 0.01 ETH,8/5/22 19:50,Bonsai,0.29 ETH,-44%,< 0.01 ETH,8/5/22 20:12,The Gamer Room,0.3,-68%,0.41,8/5/22 21:57,32.0,The Gamer Room,0.3,-68%,0.41,08/05/2022 23:36:57,32.0,Beep 3D AR/VR,0.33,+323%,0.01,08/06/2022 18:07:39,32.0,Bombatomics,0.2,-44%,0.01,08/07/2022 16:15:22,32.0,Monkey Business,0.27,+5%,0.04,08/08/2022 13:54:42
The Gamer Room,0.30 ETH,-68%,0.41 ETH,8/5/22 19:50,家 - Anime Collection,0.28 ETH,4516%,< 0.01 ETH,8/5/22 20:12,Tiny Pirates,0.3,-57%,0.0001,8/5/22 21:57,33.0,Overwhelmed,0.29,-48%,0.1,08/05/2022 23:36:57,33.0,家 - Anime Collection,0.33,+213%,0.0001,08/06/2022 18:07:39,33.0,Layer 2 Heads,0.18,-83%,0.01,08/07/2022 16:15:22,33.0,Brainies PFP,0.21,--,0.0001,08/08/2022 13:54:42
Bonsai,0.29 ETH,-44%,< 0.01 ETH,8/5/22 19:50,Baby Silent Girl,0.27 ETH,2590%,< 0.01 ETH,8/5/22 20:12,YABOYNANCY COLLECTOR PORT...,0.29,-74%,0.02,8/5/22 21:57,34.0,Baby Silent Girl,0.29,--,0.0001,08/05/2022 23:36:57,34.0,Neon vibes,0.32,-47%,0.02,08/06/2022 18:07:39,34.0,The Roaring Retro Gallery...,0.16,-53%,0.03,08/07/2022 16:15:22,34.0,dTweenies,0.19,-17%,0.09,08/08/2022 13:54:42
Purple Rings,0.28 ETH,290%,< 0.01 ETH,8/5/22 19:50,Purple Rings,0.26 ETH,154%,< 0.01 ETH,8/5/22 20:12,Bonsai,0.29,-45%,0.0001,8/5/22 21:57,35.0,Tiny Pirates,0.28,-62%,0.0001,08/05/2022 23:36:57,35.0,SpaceColony M2,0.3,+203%,0.04,08/06/2022 18:07:39,35.0,Dankclops Stickers,0.15,+723%,0.0001,08/07/2022 16:15:22,35.0,Raise a Glass: Space Seri...,0.17,-38%,0.05,08/08/2022 13:54:42
Baby Silent Girl,0.27 ETH,2590%,< 0.01 ETH,8/5/22 19:50,YABOYNANCY COLLECTOR PORT...,0.25 ETH,-77%,0.02 ETH,8/5/22 20:12,Baby Silent Girl,0.29,2770%,0.0001,8/5/22 21:57,36.0,Bonsai,0.28,-46%,0.0001,08/05/2022 23:36:57,36.0,Overwhelmed,0.3,-54%,0.1,08/06/2022 18:07:39,36.0,Loop Cats Collectibles,0.14,+27%,0.04,08/07/2022 16:15:22,36.0,Strapped Apes,0.16,--,0.02,08/08/2022 13:54:42
Shrunken Heads Series 1,0.23 ETH,201%,0.04 ETH,8/5/22 19:50,Dankclops main collection...,0.25 ETH,19%,0.21 ETH,8/5/22 20:12,Purple Rings,0.25,73%,0.0001,8/5/22 21:57,37.0,PROTAGONISTS,0.27,-69%,0.0001,08/05/2022 23:36:57,37.0,Baby Silent Girl,0.27,+86%,0.0001,08/06/2022 18:07:39,37.0,Neons,0.14,--,0.05,08/07/2022 16:15:22,37.0,Loopingu. II,0.16,--,0.04,08/08/2022 13:54:42
Bombatomics,0.23 ETH,-48%,0.01 ETH,8/5/22 19:50,Shrunken Heads Series 1,0.23 ETH,201%,0.04 ETH,8/5/22 20:12,家 - Anime Collection,0.23,273%,0.0001,8/5/22 21:57,38.0,家 - Anime Collection,0.23,+278%,0.0001,08/05/2022 23:36:57,38.0,The Roaring 3020s,0.26,--,0.04,08/06/2022 18:07:39,38.0,Neon vibes,0.14,-55%,0.02,08/07/2022 16:15:22,38.0,The AGN Community,0.16,+81%,0.02,08/08/2022 13:54:42
The Roaring 20s,0.21 ETH,-75%,0.23 ETH,8/5/22 19:50,Bombatomics,0.23 ETH,-48%,0.01 ETH,8/5/22 20:12,The Roaring 20s,0.21,-54%,0.22,8/5/22 21:57,39.0,Beep 3D AR/VR,0.23,+268%,0.01,08/05/2022 23:36:57,39.0,Player Gloves,0.23,-50%,0.1,08/06/2022 18:07:39,39.0,Memory Cards,0.14,-61%,0.05,08/07/2022 16:15:22,39.0,Bombatomics,0.16,-34%,0.01,08/08/2022 13:54:42
Neon Shadow Punks,0.20 ETH,--,0.10 ETH,8/5/22 19:50,The Roaring 20s,0.21 ETH,-75%,0.23 ETH,8/5/22 20:12,Neon Shadow Punks,0.2,--,0.1,8/5/22 21:57,40.0,Purple Rings,0.22,+41%,0.0001,08/05/2022 23:36:57,40.0,The Roaring 20s,0.23,-44%,0.22,08/06/2022 18:07:39,40.0,Beep 3D AR/VR,0.13,-59%,0.01,08/07/2022 16:15:22,40.0,Tiny Pirates,0.15,-80%,0.0001,08/08/2022 13:54:42
